Track,Artist,Listeners,Playcount,Album,Tags,URL
Demons,Imagine Dragons,1493519,14971900,Night Visions,"['rock', 'indie', 'alternative', 'indie rock', 'IMAGINE DRAGONS']",https://www.last.fm/music/Imagine+Dragons/_/Demons
Somewhere Only We Know,Keane,2010445,19318784,Hopes and Fears,"['britpop', 'Keane', 'alternative', 'indie', 'rock']",https://www.last.fm/music/Keane/_/Somewhere+Only+We+Know
Love,Keyshia Cole,695339,6686821,The Way It Is,"['keyshia cole', 'Love', 'rnb', 'soul', 'female vocalists']",https://www.last.fm/music/Keyshia+Cole/_/Love
Woman,Doja Cat,1340548,20069455,Bravo The Hits 2021,"['afrobeat', 'rap', 'rnb', 'pop', 'love at first listen']",https://www.last.fm/music/Doja+Cat/_/Woman
EASY,LE SSERAFIM,398021,8603187,EASY,"['trap', 'rnb', 'k-pop', 'easy', 'LESSERAFIM']",https://www.last.fm/music/LE+SSERAFIM/_/EASY
Poker Face,Lady Gaga,2812138,27265752,The Fame,"['pop', 'dance', 'Lady Gaga', 'electronic', 'party']",https://www.last.fm/music/Lady+Gaga/_/Poker+Face
Romantic Homicide,d4vd,1104302,19721574,Romantic Homicide - Single,"['sad', 'indie pop', 'MySpotigramBot', 'indie', 'dream pop']",https://www.last.fm/music/d4vd/_/Romantic+Homicide
I Was Never There,"The Weeknd, Gesaffelstein",21633,140371,"My Dear Melancholy,",[],"https://www.last.fm/music/The+Weeknd,+Gesaffelstein/_/I+Was+Never+There"
Supernatural,NewJeans,331401,7478231,Supernatural,"['new jack swing', 'k-pop', '2024', 'newjeans', 'acheimagra']",https://www.last.fm/music/NewJeans/_/Supernatural
Someone You Loved,Lewis Capaldi,881927,10067244,Best of Electronic Music,"['2010s', 'pop', 'alternative', 'soft rock', '2018']",https://www.last.fm/music/Lewis+Capaldi/_/Someone+You+Loved
Daylight,David Kushner,630301,7505034,Daylight,"['pop', 'singer-songwriter', 'chamber pop', 'american', 'male vocalists']",https://www.last.fm/music/David+Kushner/_/Daylight
Real Man,beabadoobee,454196,4982701,This Is How Tomorrow Moves [Explicit],"['seen live', 'Unreleased', 'Amo', 'joaoaksnes', 'miguelqas']",https://www.last.fm/music/beabadoobee/_/real+man
Thinking out Loud,Ed Sheeran,1038679,9045086,x,"['soul', 'Love', 'lovesong', '10s', 'middle']",https://www.last.fm/music/Ed+Sheeran/_/Thinking+Out+Loud
Viva La Vida,Coldplay,2860310,29862233,Viva la Vida or Death and All His Friends,"['Coldplay', 'alternative', 'rock', 'alternative rock', 'viva la vida']",https://www.last.fm/music/Coldplay/_/Viva+la+Vida
Call Out My Name,The Weeknd,1238108,15982676,"My Dear Melancholy,","['rnb', 'soul', 'MySpotigramBot', 'Canadian', '2018']",https://www.last.fm/music/The+Weeknd/_/Call+Out+My+Name
BANG BANG BANG,BIGBANG,344070,3230315,A,"['k-pop', '2015', 'big bang', 'BigBang', 'hip hop']",https://www.last.fm/music/Bigbang/_/BANG+BANG+BANG
ocean eyes,Billie Eilish,1170614,13209515,N/A,"['indie', 'pop', 'indie pop', 'dream pop', 'alternative']",https://www.last.fm/music/Billie+Eilish/_/Ocean+Eyes
lovely (with Khalid),"Billie Eilish, Khalid",19684,116930,N/A,[],"https://www.last.fm/music/Billie+Eilish,+Khalid/_/lovely+(with+Khalid)"
Juno,Sabrina Carpenter,722111,12898532,Short n' Sweet [Clean] [Clean],"['pop', 'pop rock', 'female vocalist', 'rock', 'dance']",https://www.last.fm/music/Sabrina+Carpenter/_/Juno
Brooklyn Baby,Lana Del Rey,1337441,20274625,Ultraviolence,"['indie', 'love at first listen', 'alternative', 'dream pop', 'female vocalists']",https://www.last.fm/music/Lana+Del+Rey/_/Brooklyn+Baby
