Track,Artist,Listeners,Playcount
O Meu Coração Em Suas Mãos (Colgando en tu manos) - Ao Vivo,"Hugo & Guilherme, Maiara & Maraisa",466,34469
i love you,Billie Eilish,955773,13373048
No Scrubs,TLC,1442687,9702610
Passionfruit,Drake,1213635,19751337
FXXK IT,BIGBANG,165655,1524910
"무제(無題) (Untitled, 2014)",G-DRAGON,86279,856089
Fade Into You,Mazzy Star,1614094,22431689
Stick Season,Noah Kahan,732918,14371992
Riptide,Vance Joy,1732733,18605024
Fate,(G)I-DLE,115155,1380862
Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",3255,17004
Genie In a Bottle,Christina Aguilera,1101212,6648336
Take on Me,a-ha,2357451,18554506
Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",3480,18419
Chasing Cars,Snow Patrol,1985614,17147428
"You're Gonna Go Far, Kid",The Offspring,1207008,12787449
More Than You Know,Axwell /\ Ingrosso,484191,4261707
LET'S NOT FALL IN LOVE,BIGBANG,90413,806094
ライラック,Mrs. GREEN APPLE,32572,220701
But Sometimes,BOYNEXTDOOR,95463,1851368
Linger,The Cranberries,1905700,22293786
Don't Stop The Music,Rihanna,1899285,12267095
Summer,Calvin Harris,1198044,8846089
Adventure of a Lifetime,Coldplay,935561,8269401
idfc,blackbear,640775,7147148
Blue,BIGBANG,93188,860641
爱怎么了,陈村长,7049,97497
WAY 4 LUV,PLAVE,20527,352749
Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics, Annie Lennox, Dave Stewart",4020,13401
S&M,Rihanna,1692683,15189288
Pump Up The Volume!,PLAVE,16958,289249
告白氣球,Jay Chou,26022,251137
WHO YOU?,G-DRAGON,41994,313466
Say It Right,Nelly Furtado,1553012,12577093
Still Life,BIGBANG,73707,976749
Addicted,"Zerb, The Chainsmokers, Ink",2542,12564
Let Me Love You,Mario,1028903,5352136
The Way I Are,"Timbaland, Keri Hilson, D.O.E.",15122,88800
Teenage Fever,Drake,665359,8976426
Miss Independent,Ne-Yo,900595,5332236
How to Save a Life,The Fray,1744598,15454256
Maneater,Nelly Furtado,1685339,15553470
你的答案,阿冗,13037,115590
