id,track_name,artist,album,popularity,release_date,spotify_url,Genre
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),81,2017-04-20,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,pop
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,NewJeans 'Super Shy',74,2023-07-07,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd,pop
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,84,2012-12-07,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,pop
7xoUc6faLbCqZO6fQEYprd,One Last Time,Ariana Grande,My Everything (Deluxe),80,2014-08-22,https://open.spotify.com/track/7xoUc6faLbCqZO6fQEYprd,pop
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,86,2012-12-07,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,pop
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,Kid Krow,81,2020-03-20,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,pop
0a4MMyCrzT0En247IhqZbD,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',73,2022-08-01,https://open.spotify.com/track/0a4MMyCrzT0En247IhqZbD,pop
46aZJc0z1HHHSFxaIRxYSP,Breakin' Dishes,Rihanna,Good Girl Gone Bad: Reloaded,82,2008-06-02,https://open.spotify.com/track/46aZJc0z1HHHSFxaIRxYSP,pop
2XHzzp1j4IfTNp1FTn7YFg,Love Me,"Lil Wayne, Drake, Future",I Am Not A Human Being II (Deluxe),81,2013-01-01,https://open.spotify.com/track/2XHzzp1j4IfTNp1FTn7YFg,pop
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,86,2013-04-22,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,pop
7gMfVc4zfNIxuMyMGglOHa,Rebirth (Intro),Jimin,MUSE,68,2024-07-19,https://open.spotify.com/track/7gMfVc4zfNIxuMyMGglOHa,pop
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,How Sweet,73,2024-05-24,https://open.spotify.com/track/38tXZcL1gZRfbqfOG0VMTH,pop
3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,79,2012-01-01,https://open.spotify.com/track/3BJe4B8zGnqEdQPMvfVjuS,pop
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,After Hours,84,2020-03-20,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,pop
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,OneRepublic,Native,82,2013-01-01,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,pop
2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,SOUR,78,2021-05-21,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl,pop
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,80,2023-05-19,https://open.spotify.com/track/6GGtHZgBycCgGBUhZo81xe,pop
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,Submarine,85,2024-05-31,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5,pop
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,Hollywood's Bleeding,81,2019-09-06,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,pop
6lanRgr6wXibZr8KgzXxBl,a thousand years,Christina Perri,a thousand years,79,2011-10-18,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl,pop
6Ixrp3yXfzv5brZXmZuXXN,Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album,59,2024-06-17,https://open.spotify.com/track/6Ixrp3yXfzv5brZXmZuXXN,pop
45zLrK0668WQ5JFMyiYmCS,Interlude : Showtime,Jimin,MUSE,66,2024-07-19,https://open.spotify.com/track/45zLrK0668WQ5JFMyiYmCS,pop
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,Harry's House,83,2022-05-20,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,pop
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,Dreamland,81,2020-08-07,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,pop
6rdkCkjk6D12xRpdMXy0I2,New Jeans,NewJeans,NewJeans 'Super Shy',73,2023-07-07,https://open.spotify.com/track/6rdkCkjk6D12xRpdMXy0I2,pop
6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,girl in red,we fell in love in october / October Passed Me By,80,2018-11-21,https://open.spotify.com/track/6IPwKM3fUUzlElbvKw2sKl,pop
5qaEfEh1AtSdrdrByCP7qR,Demons,Imagine Dragons,Night Visions,79,2012-09-04,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR,pop
1SKPmfSYaPsETbRHaiA18G,Somewhere Only We Know,Keane,Hopes And Fears,81,2004-05-10,https://open.spotify.com/track/1SKPmfSYaPsETbRHaiA18G,pop
0W4NhJhcqKCqEP2GIpDCDq,Love,Keyshia Cole,The Way It Is,77,2005-01-01,https://open.spotify.com/track/0W4NhJhcqKCqEP2GIpDCDq,pop
6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,Planet Her,79,2021-06-25,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,pop
